zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
World,"20311,15","20444,85","20382,18","20486,14","20584,69","21062,97","21525,51","21895,66","22054,46","22193,16","22836,38","23193,88","23510,90","24563,36","25707,57","26624,16","27454,33","28389,23","28597,34","28332,35","29918,05","30699,38","31184,11","31748,25","31811,25","31758,86","31703,55","32099,22","32805,03","32741,42"
OECD,"11179,02","11204,07","11259,26","11356,24","11544,21","11701,52","12079,50","12342,80","12354,69","12434,79","12752,61","12782,20","12698,71","12915,92","13042,74","13085,88","13007,21","13175,01","12848,98","12109,21","12615,66","12391,52","12251,57","12269,57","12076,44","11983,47","11914,35","11891,29","11960,86","11633,65"
G7,"8608,08","8574,37","8617,62","8680,81","8792,45","8888,79","9143,24","9353,98","9393,24","9440,46","9647,75","9642,88","9520,64","9641,87","9698,35","9712,08","9573,47","9671,48","9382,04","8747,15","9122,19","8888,74","8768,14","8863,66","8741,95","8569,59","8437,82","8330,20","8410,33","8172,70"
BRICS,"5413,96","5570,08","5522,86","5570,07","5529,52","5762,58","5804,05","5805,22","5936,00","5951,12","6171,67","6366,55","6648,15","7308,71","8129,22","8799,06","9517,55","10092,07","10428,56","10961,28","11797,70","12642,65","13073,32","13519,78","13630,52","13590,71","13519,61","13840,18","14291,60","14562,45"
Europe,"4400,64","4374,98","4253,04","4173,50","4129,47","4192,71","4333,82","4261,43","4272,32","4197,26","4245,86","4304,17","4299,92","4418,09","4431,65","4421,41","4464,02","4433,23","4347,49","4044,34","4175,91","4058,04","4028,63","3933,86","3761,57","3824,22","3833,37","3884,49","3823,50","3672,91"
European Union,"4098,03","4083,50","3963,16","3885,61","3857,07","3900,47","4016,07","3926,27","3931,14","3869,81","3892,18","3963,32","3946,44","4044,57","4046,56","4031,24","4044,27","3992,05","3904,21","3607,29","3727,31","3585,86","3552,69","3467,19","3287,88","3330,86","3316,51","3329,53","3267,04","3135,74"
Belgium,"106,51","111,21","109,91","108,33","113,76","114,25","119,79","116,36","119,13","115,06","116,98","116,73","111,40","115,18","114,82","112,21","110,92","107,23","109,06","99,54","109,17","98,75","97,59","98,72","92,39","96,99","95,85","95,12","97,62","97,99"
Czech Republic,"147,40","135,91","129,99","130,39","125,07","126,07","127,23","125,10","119,33","111,81","122,55","121,86","117,76","121,81","123,65","119,34","120,01","122,91","117,78","110,05","113,67","110,10","106,73","102,64","100,02","100,90","102,33","103,83","102,72","99,71"
France,"365,41","392,65","381,53","362,70","356,07","366,56","380,67","371,97","394,98","389,99","386,18","390,10","383,17","388,38","388,89","391,91","383,06","374,26","367,71","350,73","356,58","338,13","342,91","342,57","310,74","316,76","317,77","322,63","309,11","301,79"
Germany,"952,76","936,15","895,78","883,96","869,54","868,32","894,33","863,15","860,05","828,43","829,72","849,18","836,85","835,37","820,36","803,82","815,00","785,30","794,02","737,64","780,86","751,89","767,79","788,58","749,73","754,54","758,90","745,51","719,48","672,99"
