Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,"Coal, peat and oil shale",Total final consumption (ktoe),5264,5037,5197,4981,5158,4940,4828,4216,4399,4508,4255,4339,3912,4083,4665,4343,4406,4396,4446,4558,4643,4651,4748,4722,4669,4454,4704,4509,4398,4200,3951,3008,3460,3616,3896,3560,3554,3660,3411,2539,2496,2422,2353,2447,2343,2706,2833,3079
Australia,"Crude, NGL and feedstocks",Total final consumption (ktoe),0,0,0,0,0,10,12,3,1,1,2,2,2,3,3,3,4,3,3,4,0,2,3,3,3,0,0,0,0,0,0,0,3,3,17,17,18,17,16,13,15,15,14,15,15,15,15,16
Australia,Oil products,Total final consumption (ktoe),22388,22243,24264,24172,24353,24613,26039,26617,26989,26919,25932,25753,24221,25343,25491,25876,25994,27442,28457,28994,28229,28761,29543,30267,31395,32506,32943,33107,33586,34716,34366,33849,35328,36439,36538,37172,37814,38658,38158,38983,41223,42600,43022,43080,42498,43039,43644,44620
Australia,Natural gas,Total final consumption (ktoe),1009,1676,2113,2451,2750,3010,3481,3885,4326,5028,5460,5685,5924,6097,6860,7331,7783,7907,8176,8655,8711,8877,9093,9513,9991,10143,10312,10644,10876,11389,12017,11814,12642,12877,12330,12331,12809,12871,12085,12304,12469,12476,13005,13349,13143,12990,12747,12802
Australia,Nuclear,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Renewables and waste,Total final consumption (ktoe),3523,3592,3493,3550,3552,3575,3599,3573,3440,3523,3737,3857,3840,3747,3860,2917,2982,3055,3218,3334,3307,3013,3678,3573,3758,4294,4484,4350,4332,4423,4387,4645,3537,3337,3183,3218,3470,3523,3811,4413,4342,4380,4673,4483,4700,4600,4686,4474
Australia,Electricity,Total final consumption (ktoe),3893,4107,4511,4996,5286,5489,5893,6141,6492,6813,7211,7472,7536,8036,8433,8963,9378,9956,10547,11110,11326,11432,11769,12088,12457,12808,13231,14031,14489,14854,15511,16433,15902,16278,16271,16563,17331,17400,17755,18057,18249,18050,18043,17871,18170,18200,18150,18344
Australia,Heat,Total final consumption (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Total,Total final consumption (ktoe),36076,36655,39578,40149,41100,41636,43851,44436,45646,46791,46597,47108,45436,47309,49312,49433,50548,52758,54847,56656,56215,56737,58833,60166,62273,64205,65674,66642,67681,69582,70232,69750,70872,72550,72234,72860,74995,76128,75236,76310,78793,79943,81111,81246,80870,81549,82075,83334
Austria,"Coal, peat and oil shale",Total final consumption (ktoe),2507,2320,2346,2373,2064,2010,1836,1867,2025,1970,1959,1959,2035,2294,2315,2016,1864,1734,1628,1415,1542,1274,1169,1033,1031,1044,1037,905,918,909,800,670,664,626,603,649,606,606,494,481,465,464,479,459,454,476,467,442
