zone,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
World,8756,8811,8821,8911,8980,9209,9437,9536,9582,9788,10015,10103,10321,10685,11167,11471,11813,12132,12279,12177,12843,13040,13245,13416,13595,13637,13720,13970,14287,14378
OECD,4523,4575,4625,4696,4779,4880,5023,5075,5092,5185,5304,5284,5330,5405,5507,5541,5553,5577,5503,5260,5434,5337,5298,5331,5287,5289,5292,5320,5385,5338
G7,3490,3526,3568,3615,3676,3744,3837,3852,3871,3940,4029,3991,4014,4046,4121,4137,4119,4124,4037,3834,3948,3848,3801,3843,3820,3803,3769,3772,3835,3787
BRICS,2289,2273,2235,2260,2235,2317,2363,2360,2367,2435,2486,2538,2626,2849,3092,3280,3496,3705,3832,3992,4324,4573,4726,4819,4935,4946,4961,5106,5275,5400
Europe,1776,1774,1736,1736,1727,1781,1844,1835,1849,1831,1853,1887,1889,1936,1955,1965,1985,1960,1959,1855,1926,1869,1858,1840,1778,1808,1826,1858,1840,1810
European Union,1646,1648,1611,1610,1605,1651,1706,1691,1701,1687,1699,1735,1734,1773,1789,1796,1802,1771,1765,1663,1728,1665,1652,1633,1572,1591,1601,1621,1604,1574
Belgium,48,50,51,49,52,53,56,56,57,57,58,58,56,58,58,58,57,56,58,56,60,56,53,56,53,52,56,55,53,55
Czech Republic,50,45,44,43,41,42,43,43,42,39,41,42,43,45,46,45,46,46,45,43,45,43,43,43,42,42,41,43,43,43
France,225,237,234,238,231,240,251,244,252,252,255,260,261,268,271,273,268,265,266,255,263,257,257,258,248,252,247,247,246,241
Germany,351,344,338,335,333,336,348,345,343,335,337,347,339,337,340,338,347,329,332,311,327,310,311,318,306,308,310,311,302,296
Italy,147,150,149,149,147,159,159,162,166,169,172,172,174,182,183,187,185,184,182,170,174,168,162,156,147,153,151,154,151,149
Netherlands,67,69,69,70,70,73,77,75,75,74,75,77,78,80,81,80,79,79,78,77,83,77,77,75,71,72,74,74,73,71
Poland,103,101,99,101,96,99,104,102,95,93,89,90,89,91,91,92,97,97,98,94,101,101,98,98,95,96,100,104,106,103
Portugal,17,17,18,18,18,20,20,21,23,24,25,25,26,25,26,26,25,25,25,24,23,23,21,22,21,22,22,23,22,22
Romania,62,51,46,46,43,47,48,45,41,36,36,37,38,40,39,39,40,40,40,35,35,36,35,32,32,32,32,33,34,34
Spain,90,93,95,91,96,101,99,106,111,116,122,125,129,133,139,142,142,144,139,128,128,126,126,117,115,119,120,126,126,125
Sweden,47,49,47,46,50,50,51,50,51,50,48,50,52,51,53,52,50,50,50,45,51,50,50,49,48,45,49,49,49,47
United Kingdom,206,213,213,215,216,217,226,219,221,222,223,224,221,224,222,223,219,211,209,196,204,189,194,191,180,182,179,176,175,171
Norway,21,22,22,24,23,24,23,24,25,26,26,27,25,27,27,27,27,28,32,32,30,27,28,29,29,29,28,29,28,27
Turkey,51,51,53,56,56,61,66,70,71,70,76,70,74,79,81,84,93,100,98,98,106,112,118,115,119,129,137,147,145,147
CIS,1379,1366,1233,1139,998,962,933,892,875,893,902,908,916,949,961,964,991,1003,1020,941,1008,1043,1059,1031,1019,987,1007,1027,1072,1090
Kazakhstan,73,75,79,66,58,52,45,39,39,36,36,35,40,43,51,51,61,66,70,63,69,77,74,82,77,78,82,85,90,89
Russia,879,871,795,751,657,636,630,602,588,609,619,626,623,645,647,651,670,672,688,647,688,711,728,706,707,692,714,732,766,779
Ukraine,252,252,220,195,166,164,150,143,136,135,134,134,136,141,142,141,137,139,135,114,132,126,122,116,106,93,91,89,93,89
Uzbekistan,46,48,45,47,47,43,44,45,50,51,51,51,53,51,50,47,48,47,49,44,42,47,48,43,43,39,34,34,36,37
America,2584,2609,2666,2710,2781,2816,2890,2937,2972,3044,3120,3080,3122,3158,3239,3274,3287,3342,3301,3167,3266,3262,3254,3315,3352,3321,3290,3280,3355,3320
North America,2121,2136,2179,2221,2267,2297,2347,2371,2388,2453,2523,2476,2507,2526,2579,2593,2576,2616,2549,2425,2478,2458,2422,2464,2497,2475,2452,2451,2533,2509
Canada,211,210,216,223,231,234,239,241,240,247,254,250,251,264,271,274,278,277,271,260,261,266,269,274,281,282,283,290,298,295
United States,1910,1925,1964,1998,2036,2063,2108,2130,2148,2206,2269,2226,2256,2262,2308,2319,2297,2338,2278,2165,2217,2191,2152,2190,2216,2193,2169,2161,2235,2213
Latin America,463,474,486,489,515,519,543,566,584,591,598,604,615,632,660,681,712,726,752,742,788,805,833,851,854,846,838,830,822,811
Argentina,46,47,50,50,53,54,56,58,60,61,62,59,57,61,67,67,73,74,78,76,79,81,81,83,84,86,86,85,84,82
Brazil,141,143,145,148,156,162,170,179,183,187,188,191,196,199,211,216,224,236,250,242,267,271,281,294,303,297,286,291,287,288
Chile,14,14,15,16,17,18,20,23,24,25,25,25,26,26,28,28,30,31,30,30,31,34,37,38,35,36,38,38,39,39
Colombia,24,24,25,26,27,28,28,27,29,26,26,26,25,26,26,27,28,28,30,31,31,31,32,39,39,39,41,38,39,40
Mexico,124,130,131,133,136,132,135,142,146,150,151,155,157,168,171,181,184,183,184,180,179,187,192,192,188,185,185,180,180,178
Venezuela,40,41,46,43,50,47,50,50,52,50,51,53,57,53,56,55,62,58,65,65,72,67,73,69,65,60,56,50,44,39
Asia,2113,2130,2209,2311,2416,2559,2646,2703,2694,2787,2886,2945,3071,3285,3568,3761,3970,4179,4269,4466,4824,5011,5166,5305,5426,5478,5518,5671,5847,5988
China,874,848,877,929,973,1045,1074,1073,1079,1099,1130,1168,1246,1420,1615,1782,1950,2099,2155,2297,2536,2723,2821,2912,2966,2994,2977,3069,3183,3284
India,306,318,330,338,351,371,383,398,407,431,441,448,462,474,499,515,533,568,601,666,701,734,766,779,822,835,853,882,906,913
Indonesia,99,103,108,118,119,131,136,140,137,144,156,159,165,165,176,179,183,182,185,198,206,198,208,213,224,225,230,244,260,269
Japan,440,445,455,458,482,495,506,511,502,510,520,511,513,509,526,524,524,518,500,477,503,466,456,457,442,434,429,434,428,421
Malaysia,21,26,29,32,32,34,38,44,42,42,48,51,52,56,60,66,66,73,76,72,73,76,78,87,89,85,88,85,89,93
South Korea,94,101,111,125,133,146,158,172,158,174,190,193,201,206,212,214,218,227,232,234,256,267,271,272,277,283,293,295,301,298
Taiwan,48,52,54,58,60,64,67,71,75,79,85,89,93,97,100,102,105,110,106,103,111,109,107,108,110,109,110,110,112,110
Thailand,42,46,49,51,57,62,69,71,66,71,72,74,82,89,96,99,101,105,108,108,118,118,126,136,135,135,139,138,141,142
Pacific,103,102,104,109,110,111,118,121,124,127,129,127,131,132,134,135,139,144,149,149,150,151,151,152,152,152,154,153,154,162
Australia,86,85,87,91,91,93,99,101,104,106,108,106,109,111,113,113,118,122,127,127,127,128,127,127,126,127,128,127,128,136
New Zealand,14,14,14,15,15,15,16,16,16,17,17,17,17,17,18,17,17,17,18,18,19,19,19,19,21,21,21,21,20,20
Africa,377,388,393,404,411,428,441,452,465,476,480,492,499,523,551,568,587,609,634,646,664,691,707,718,754,748,766,791,814,829
Algeria,22,23,24,24,23,24,23,24,25,27,27,27,29,31,31,32,35,37,37,41,40,42,46,48,52,54,54,56,59,62
Egypt,32,32,33,34,33,35,37,39,42,42,40,46,47,49,53,62,65,70,72,74,73,76,79,77,80,79,86,93,94,95
Nigeria,66,70,72,74,72,73,76,79,80,83,87,91,94,98,99,105,106,110,113,111,127,139,140,143,147,145,150,157,165,168
South Africa,90,92,88,94,98,104,107,109,111,109,109,105,99,111,120,116,119,129,139,141,132,135,129,128,136,127,130,132,133,135
Middle-East,223,236,265,288,314,322,328,349,352,365,372,401,418,426,455,487,520,547,595,617,646,649,701,703,751,761,765,778,787,776
Iran,69,77,81,87,97,101,98,109,111,126,123,133,138,143,156,173,180,191,205,204,204,208,217,221,237,237,245,262,271,258
Kuwait,9,3,9,12,14,15,15,15,17,18,19,20,21,22,23,26,26,26,29,31,32,31,34,34,32,35,36,34,34,36
Saudi Arabia,58,68,77,80,84,85,90,86,92,94,98,100,111,113,120,123,136,140,157,167,185,177,199,191,213,222,210,211,205,207
United Arab Emirates,20,23,22,24,26,28,29,31,32,32,32,40,40,39,42,44,46,50,59,64,61,60,64,67,74,78,79,68,68,69
